Format Version,1.21,Take Name,1blackTake 2024-04-10 03.24.49 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 03.24.49.530 PM,Total Frames in Take,2166,Total Exported Frames,2166,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
0,0.000000,-8.224500,-6.014356,-5.605354,1.296063,0.460040,-1.216705,0.000241
1,0.008333,-8.224762,-6.023520,-5.589001,1.296075,0.460055,-1.216708,0.000245
2,0.016667,-8.242729,-5.994638,-5.626760,1.296074,0.460081,-1.216697,0.000245
3,0.025000,-8.217539,-6.024273,-5.579942,1.296078,0.460052,-1.216705,0.000234
4,0.033333,-8.223108,-6.024712,-5.604177,1.296070,0.460058,-1.216702,0.000242
5,0.041667,-8.221176,-6.014487,-5.599374,1.296064,0.460063,-1.216714,0.000240
6,0.050000,-8.226826,-6.017817,-5.607042,1.296080,0.460055,-1.216707,0.000232
7,0.058333,-8.219769,-6.022486,-5.609910,1.296073,0.460043,-1.216702,0.000240
8,0.066667,-8.228010,-6.015933,-5.598662,1.296083,0.460044,-1.216711,0.000230
9,0.075000,-8.213379,-6.020813,-5.591660,1.296082,0.460037,-1.216702,0.000240
10,0.083333,-8.220636,-6.020809,-5.595488,1.296085,0.460036,-1.216694,0.000240
