Format Version,1.21,Take Name,black4Take 2024-04-10 04.05.45 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 04.05.45.715 PM,Total Frames in Take,3092,Total Exported Frames,3092,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
0,0.000000,-172.522858,7.163337,175.320099,-1.512475,0.454147,1.298346,0.000410
1,0.008333,-172.529861,7.155637,175.314941,-1.512479,0.454168,1.298360,0.000409
2,0.016667,-172.544525,7.165811,175.297775,-1.512479,0.454172,1.298353,0.000391
3,0.025000,-172.528854,7.166361,175.312866,-1.512476,0.454175,1.298362,0.000411
4,0.033333,-172.527466,7.155369,175.307007,-1.512490,0.454158,1.298347,0.000410
5,0.041667,-172.508896,7.161640,175.313690,-1.512496,0.454164,1.298367,0.000408
6,0.050000,-172.514206,7.156170,175.327271,-1.512493,0.454146,1.298366,0.000413
7,0.058333,-172.510757,7.159285,175.344055,-1.512487,0.454107,1.298344,0.000425
8,0.066667,-172.502335,7.151958,175.339645,-1.512484,0.454117,1.298349,0.000402
9,0.075000,-172.521072,7.157236,175.348618,-1.512480,0.454116,1.298354,0.000393
10,0.083333,-172.518677,7.158500,175.319641,-1.512483,0.454136,1.298356,0.000414
11,0.091667,-172.531738,7.161948,175.331253,-1.512470,0.454143,1.298359,0.000405
