Format Version,1.21,Take Name,point5,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 02.04.23.220 PM,Total Frames in Take,4982,Total Exported Frames,4982,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
0,0.000000,-140.964783,69.120483,130.910172,-1.007704,0.462314,-0.519007,0.000291
1,0.008333,-140.942383,69.118591,130.881775,-1.007695,0.462329,-0.518999,0.000306
2,0.016667,-140.956619,69.110023,130.909012,-1.007690,0.462363,-0.519001,0.000314
3,0.025000,-140.963104,69.111725,130.910797,-1.007696,0.462363,-0.519008,0.000301
4,0.033333,-140.933105,69.111389,130.879501,-1.007703,0.462354,-0.519007,0.000314
5,0.041667,-140.933197,69.105652,130.886185,-1.007701,0.462348,-0.519006,0.000301
6,0.050000,-140.951004,69.099060,130.920013,-1.007707,0.462347,-0.519009,0.000296
7,0.058333,-140.925949,69.093025,130.884567,-1.007712,0.462335,-0.519025,0.000283
8,0.066667,-140.949219,69.110153,130.877975,-1.007721,0.462305,-0.519006,0.000301
9,0.075000,-140.975113,69.118362,130.927979,-1.007717,0.462296,-0.519000,0.000294
10,0.083333,-140.961700,69.110092,130.917587,-1.007712,0.462314,-0.519016,0.000309
11,0.091667,-140.974457,69.114326,130.907837,-1.007703,0.462328,-0.519018,0.000302
